#a,e,i,H,diameter,BV,UB
2.553904267,0.062575627,14.38549162,9.39,44.3,0.886,0.447
3.130539157,0.131177059,2.546794563,8.31,116.69,0.695,0.341
2.379415539,0.115136495,10.02828281,8.79,62.43,0.89,0.499
2.744226033,0.206157691,14.21095008,7.66,154.1,0.705,0.305
2.858832532,0.144032987,12.12981931,8.48,69.24,0.858,0.484
3.183256483,0.232825463,3.219492228,8.31,101.17,0.706,0.332
3.186316252,0.165872621,22.58832421,7.9,121.04,,
2.768128747,0.238159729,1.389670048,9.49,73.22,0.73,0.35
2.461120101,0.042330954,1.895210528,9.38,35.81,0.904,0.486
2.971420049,0.114421435,7.815942177,8.15,77.69,0.832,0.408
2.722950215,0.165088234,0.86632425,10.31,,0.829,0.451
3.130246181,0.203199342,18.8886781,7.84,106.66,0.815,0.379
2.415634292,0.186085746,2.004566403,9.12,43.68,0.862,0.425
2.789833,0.351595164,26.39373606,9.68,35.43,0.842,0.359
3.189936216,0.06794303,1.143341793,8.31,66.47,0.699,0.227
2.738188291,0.129189953,23.23390701,7.62,157.51,0.668,0.331
2.361824084,0.149938382,13.1743573,8.91,49.99,0.859,0.397
2.727948557,0.240522082,10.58620725,8.16,130.4,0.709,0.348
2.766139462,0.176257485,11.71991771,9.22,38.61,0.891,0.386
2.45162041,0.036302239,5.175731013,9.33,37.66,0.904,0.491
4.005088112,0.167387362,6.15537357,7.59,159,0.683,0.269
2.893511886,0.091504528,11.50787903,9.07,101.03,0.675,0.258
2.40221421,0.246340507,6.814353288,7.13,103.26,0.927,0.487
2.59981621,0.297089084,12.01141791,9.68,,0.811,0.306
2.616579693,0.237170133,18.50053797,7.68,168.42,0.724,0.341
2.876223461,0.043655994,6.966820431,9.01,85.71,0.704,0.387
3.112417484,0.019807666,7.26003705,6.54,136.39,0.852,0.451
2.739587603,0.163039526,8.79526437,9.18,29.18,0.908,0.496
2.458251697,0.228459682,9.314217501,8.33,57.16,0.885,0.421
3.166375655,0.178768872,15.47675832,8.3,,,
2.736852796,0.133961609,6.896061919,8.26,128.36,0.727,0.375
2.676833021,0.181296255,5.758359414,8.43,68.39,0.72,0.233
3.071303572,0.101490825,8.854025044,7.42,86.15,0.875,0.475
2.737312175,0.059197155,3.17789056,8.76,116.25,0.702,0.293
2.670835035,0.174762252,8.284667031,8.89,48.57,0.813,0.415
2.776746054,0.03392834,10.68406617,9.23,80.58,0.688,0.35
2.740606408,0.037982808,3.778283886,8.68,113,0.69,0.345
2.283885211,0.029621565,3.802761373,9.92,58.7,0.722,0.389
2.894589222,0.014243548,1.745116793,8.96,41.33,0.841,0.407
3.144443882,0.060541638,7.170102549,8.24,159.94,0.691,0.294
2.722598839,0.121163859,5.255585115,9.33,86.65,0.667,0.248
3.039798285,0.162155457,3.887252732,7.89,143.19,0.711,0.364
3.11729222,0.105509437,4.263377801,8.28,136.12,0.704,0.286
2.752817854,0.14614725,6.802606212,8.64,83.01,0.65,0.221
2.610714592,0.031555981,3.435139992,9.5,23.16,0.7,0.217
2.765967514,0.036567743,1.686125027,9.59,35.51,0.845,0.451
2.795566441,0.24881375,13.09964709,7.3,124,0.713,0.238
2.875682524,0.306097796,10.4793958,9.8,66.24,,
2.666619217,0.116322167,15.19998115,8.6,60.62,0.859,0.443
2.354312868,0.223134476,10.84507754,9.32,40.56,0.905,0.482
2.347341113,0.25869438,7.590257906,11,31.12,,
3.009607989,0.104640617,10.8802529,7.67,103.87,0.768,0.41
3.140700271,0.135646131,2.156414127,9.13,54.66,0.688,0.395
3.095862971,0.116202393,1.935826404,9.68,87.61,0.706,0.285
2.644945997,0.04425977,5.837578483,8.59,61.82,0.748,0.201
3.392053189,0.264146536,20.86716565,8.72,120.49,0.648,0.282
2.716033485,0.202677269,15.93327856,9.7,33.83,,
3.169276863,0.19111818,9.140516577,8.7,87.31,,
2.201626587,0.241094345,2.536910997,12.48,9.3,0.918,0.596
3.422999825,0.139498053,2.07884233,9.13,93.2,0.708,0.253
2.382091967,0.061800825,9.444122369,7.35,108.99,0.871,0.44
2.923199193,0.154103121,5.090972291,9.2,82.33,,
2.552396935,0.174116969,6.065560524,10.25,53.28,0.709,0.366
2.660256398,0.101028673,7.682922014,8.21,102.78,0.775,0.321
2.387440587,0.244141058,15.36010195,9.02,43.75,0.897,0.488
2.881727449,0.063016303,9.029618302,8.82,57.58,0.897,0.541
2.802431682,0.188263603,7.680064347,8.18,86.2,0.852,0.444
2.76267596,0.073245135,9.747993508,9.24,41.08,0.787,0.413
2.907091883,0.086487955,12.39256979,8.18,148.49,0.739,0.383
2.971290217,0.233023787,6.162182861,10.3,41.52,,
2.665683826,0.205966575,2.104234185,9,103.9,0.705,0.368
3.055750125,0.098437417,5.513893735,7.58,168.9,0.689,0.289
2.863531708,0.119193674,11.3480609,9.2,38.9,,
2.862439726,0.041563987,1.132177353,9.94,32,0.802,0.416
2.174683972,0.137483522,2.843769199,12.2,10.95,,
3.100341942,0.193848715,5.159102592,7.82,79.5,0.841,0.476
2.693536334,0.109209552,15.62513849,8.62,60.1,0.99,0.602
2.742513601,0.242778727,24.98686288,8.04,134.43,0.691,0.295
2.470910762,0.066671339,4.058586843,10.21,48.66,0.83,0.34
2.377966922,0.216278605,9.620802206,11.33,34.83,0.75,0.33
3.146938741,0.131245103,12.81353678,7.58,79.75,0.728,0.262
3.095622852,0.09988622,10.51028855,10,28.42,,
3.160291226,0.070459214,10.04170338,9.1,69.29,,
2.646914177,0.266042021,6.740677386,10.2,52.8,,
2.194716879,0.122298431,4.512119994,12.13,12.11,0.845,0.505
2.746084884,0.077034075,9.471482364,10.39,57.4,0.764,0.275
2.997843367,0.068995714,13.31174443,9.8,63.34,,
3.120886306,0.1122005,3.634844329,9.47,72.66,0.761,0.384
2.615622114,0.204780749,14.29816131,8.5,64.78,0.876,0.459
3.13376762,0.127247402,10.81511695,7.76,178.6,0.698,0.311
3.446969811,0.115846674,6.414388082,8.97,94.67,0.714,0.306
2.332020323,0.088865291,3.636279579,9.44,50.93,0.7,0.299
2.552325001,0.214330285,7.68746824,11.67,,0.85,0.557
2.886558542,0.07539992,1.313835689,10.4,23.24,,
2.799621369,0.135558434,10.42698142,8.42,50.48,0.84,0.419
2.41929057,0.267907646,25.63681646,11.2,23.66,,
2.804162583,0.156990328,13.40028901,8.8,109.09,0.707,0.336
2.773030583,0.100976123,6.009638625,10.5,52.68,,
3.093604633,0.135993796,2.439967613,8.28,139.89,0.663,0.285
2.615876042,0.213993586,5.479206671,9.5,53.62,,
2.198189171,0.150802438,2.367655127,8.75,50.78,0.866,0.53
3.008693129,0.102095397,3.534891134,9.8,57.93,0.724,0.348
2.777257347,0.027458723,4.440194051,10.7,25.35,,
2.395704222,0.159771283,20.44863777,10.26,29.27,0.76,0.374
3.042691185,0.122631232,3.6824668,10.1,26.57,,
2.771782489,0.162805992,4.763523223,8.85,103,0.723,0.324
3.116166921,0.068909555,21.61544542,8.56,121.6,0.708,0.271
2.887817738,0.088766139,1.162646873,9.84,27.19,0.806,0.436
2.754291375,0.133279229,7.821322934,9.4,35.01,,
4.287023025,0.008891084,2.336466371,8.57,126.59,0.746,0.232
2.943808468,0.106883389,7.443755106,10.7,45.69,0.65,0.22
2.187959108,0.132004721,5.302490485,12.02,11.76,0.918,0.53
2.339735215,0.081001749,9.029806604,10.91,39.03,0.628,0.274
3.047434061,0.148584262,7.993288153,8.72,148.06,0.712,0.297
2.357982725,0.22260385,8.063424673,10.05,52.95,0.698,0.38
3.084937829,0.207378115,17.61831295,10.5,45.13,,
3.195104632,0.029478087,17.89953177,8.98,94.3,0.69,0.328
2.353781414,0.022766652,10.03157224,8.3,67.6,0.873,0.49
2.760850691,0.204312344,4.335514431,9.84,32.21,0.845,0.407
2.874077379,0.20496516,6.694263673,9.51,33.73,1.047,0.655
2.337561165,0.257318245,22.32803262,11.5,,,
2.222303269,0.092126487,1.854541705,11.45,14.97,,
2.530655318,0.033358777,14.89672116,9.5,32.5,0.86,0.44
2.859438375,0.107313033,15.59111216,9.94,55.11,0.721,0.352
3.144895084,0.240483732,6.291780592,9.6,52.97,,
2.794883907,0.172556251,2.709050484,10.19,27.72,0.862,0.501
2.228883821,0.159703877,1.746986318,12.62,,0.887,0.463
3.165118215,0.143068588,7.551797822,9.5,39.48,,
2.263620048,0.096125456,6.2875269,11,,,
2.433407727,0.062700573,1.603843554,11.4,17.06,,
3.204111691,0.056752693,0.732413824,9.6,80.18,,
2.724426967,0.066022041,4.894654725,10.1,54.32,,
2.405553147,0.110837882,3.412629613,10.89,38.53,0.639,0.294
3.122593155,0.062704866,6.872744081,8.7,99.29,,
2.403404519,0.221794925,15.84843248,9.74,67.86,0.708,0.249
3.093251269,0.192423932,4.441472612,8.77,49.17,0.919,0.507
2.35873278,0.150634732,7.275849313,8.96,46.7,0.864,0.453
2.907211735,0.141344303,6.129724566,10.12,54.96,0.669,0.267
2.748959808,0.039377108,4.36085847,8.17,140.69,0.783,0.379
2.664879452,0.115609077,3.719676639,10.4,45.32,,
2.7644232,0.114149699,3.172117297,10.3,32.75,,
2.896618326,0.002707797,3.22751513,9.89,24.05,0.843,0.437
2.786778858,0.158626505,9.014895155,8.89,49.96,0.843,0.429
2.375374673,0.181417947,11.65177433,8.9,96.34,0.715,0.342
3.15419569,0.177404419,12.55782173,9.5,59.65,,
2.241536734,0.168560488,2.428391966,13.2,,,
3.178009803,0.137025059,2.338849293,9.8,47.92,,
2.287599767,0.085022428,1.764386153,10.03,18.67,0.694,0.238
3.196875017,0.085282116,10.63833484,9.4,85,0.685,0.29
3.403671257,0.218328617,10.56553144,9.8,68.16,,
3.010625656,0.116706416,9.378936527,10.7,,,
2.885034508,0.043937783,2.586776017,10.04,27.23,0.792,0.41
2.780820537,0.246305665,8.054515266,9.01,70.84,0.719,0.23
2.684989636,0.33661319,11.10229122,6.82,229.44,0.695,0.309
3.211732414,0.159944374,8.553715381,8.65,75.72,0.714,0.268
2.316935181,0.190654761,23.72987081,9.36,93,0.708,0.318
2.776158609,0.063334359,7.148701377,10.1,26.1,,
3.111082147,0.106382727,16.11413923,8.6,122.92,,
2.476987219,0.025102701,15.87921516,9.66,77.8,0.698,0.331
2.4687079,0.251883236,6.755370974,12.6,,,
3.024654362,0.100713083,6.053442583,9.62,74.92,0.698,0.298
2.773367245,0.090335361,2.846977405,9.5,40.37,,
3.130454531,0.161364643,3.772878169,9.46,78.17,0.773,0.401
3.895619265,0.021857806,4.641052723,7.64,158.55,0.736,0.358
2.47457599,0.173425845,5.094548344,8.96,89.07,0.624,0.235
2.251722429,0.09607859,5.652169217,9.76,69.31,0.733,0.273
2.383305136,0.136926174,7.852238303,8.74,59.11,0.731,0.29
2.912011304,0.022840668,6.049823527,8.5,63.11,0.704,0.247
3.014452134,0.094614938,9.92774516,9.24,38.25,0.783,0.405
2.747082688,0.115121307,4.677366424,9.9,30.24,,
2.199555411,0.193594123,5.66760174,10.55,14.67,0.92,
2.568473212,0.12819525,7.349298822,10.22,60.63,0.712,0.356
2.411223393,0.229505138,3.26591554,11.56,19.1,0.77,0.463
2.594866823,0.31540052,18.35282424,8.08,132.27,0.725,0.382
2.325956495,0.06160012,9.747145217,8.71,94.12,0.729,0.411
2.79617314,0.099314149,8.758712672,7.13,106.52,0.843,0.485
2.611642865,0.166361168,11.68067599,8.9,51.36,0.685,0.259
2.970891762,0.067378973,9.745401678,9.4,82.82,,
2.923984249,0.091315097,8.245563471,5.93,139.77,0.945,0.54
3.110678994,0.15837984,24.91033264,8.37,118.35,0.702,0.36
2.766459921,0.152709593,9.19651642,8.98,39.59,0.835,0.41
2.193600765,0.149801553,3.381299158,10.01,20.27,0.904,0.539
2.737425711,0.325891804,5.707920963,11,,,
2.797478013,0.115210676,18.39694762,6.44,155.17,0.949,0.601
2.537474823,0.106779084,4.282003315,10.4,22.79,,
2.758621034,0.237706117,8.223352862,8.22,131.31,0.733,0.349
3.150305403,0.073535243,15.08532048,8.72,106.1,0.715,0.35
2.87656808,0.151177368,3.548797274,9.1,89.45,,
2.731957829,0.154732109,6.761743985,8.86,43.89,0.723,0.303
3.001949281,0.178768639,11.69666759,8.48,115.76,0.692,0.269
3.962422358,0.214472196,12.62234447,8.22,141.72,0.743,0.271
2.578730514,0.043547496,8.068687635,9,98,0.715,0.346
2.747557784,0.070446063,5.944055867,9.01,97,0.751,0.375
2.220827688,0.149069549,6.004928273,9.86,27.99,0.912,0.538
2.803408822,0.155908286,12.77681701,9.18,105.92,0.714,0.331
3.146229406,0.054512388,10.55008051,8.5,93.75,,
2.219057633,0.095730264,2.942228432,10.7,19.13,,
3.073993613,0.200518124,7.788664069,9.93,69.61,0.734,0.292
2.649137704,0.097969335,12.70870173,8.52,60,0.711,0.274
2.324593003,0.091057572,7.870474347,10.68,,0.709,0.289
2.725595094,0.063688031,7.396890128,8.72,54.64,0.822,0.511
3.148665308,0.260495703,23.83003618,7.2,188.62,,
3.117748225,0.142866405,15.42869302,9.13,95.77,0.669,0.371
2.77951238,0.081123086,8.985355974,8.67,44.67,0.847,0.448
3.125391855,0.106048315,15.94068547,7.47,216,0.683,0.341
2.288301056,0.172409124,5.434651637,9.49,34.91,0.891,0.476
2.69176154,0.078030831,6.676362949,8.89,91.05,0.73,0.305
2.776531164,0.127357498,7.002513949,9.8,26.74,0.874,0.424
3.13720049,0.186507278,1.669353227,8.87,92.33,0.672,0.287
2.677656831,0.115026427,6.158753142,9.42,73.19,0.707,0.376
3.229299359,0.091691729,12.5391969,8.25,120.58,0.683,0.3
3.117035855,0.174799868,7.400219614,8.77,58.37,0.69,0.243
3.143852423,0.163513007,2.653087965,9.91,45.52,0.682,0.352
2.65088675,0.148088565,5.590440391,9.64,36.93,0.846,0.419
2.851188451,0.122822547,13.54834119,7.49,91.53,0.847,0.37
2.896422791,0.171271116,20.25447438,7.43,165.01,0.723,0.407
2.739324767,0.236902862,18.13265237,7.41,100.51,0.881,0.449
3.004194822,0.064304252,6.44538896,8.57,114.17,0.719,0.28
2.608324871,0.067245115,8.123693506,7.88,79.23,0.855,0.42
2.65021281,0.132777293,12.16633348,10.39,23.74,0.789,0.293
2.882143891,0.141672265,14.32339728,9.7,62.88,,
2.778157796,0.331696367,14.87808505,8.39,96.89,0.74,0.324
2.762317383,0.22722184,6.219415129,9.66,31.32,0.826,0.411
2.784890703,0.086360091,3.350811409,10.38,50.98,0.726,0.356
2.74333462,0.158632665,2.550428443,9.9,34.09,,
2.636273327,0.245373229,12.8311578,9.31,43.34,0.823,0.362
2.73772226,0.224259632,9.528727207,10.3,46.98,,
3.05297284,0.07290175,13.11046955,9,49.13,,
3.127390648,0.115816027,10.5345547,10.1,33.66,,
3.343743106,0.037956882,5.970716813,9.1,99.12,,
2.558562972,0.110887191,11.82628526,9.02,54.21,0.808,0.402
2.81103084,0.096292113,9.147930724,9.1,49.49,,
2.592760114,0.199612804,14.11231483,9.01,97.71,0.675,0.333
2.585738483,0.243188286,11.94798989,8.46,124.9,0.698,0.388
2.914771827,0.18237181,4.193326711,10.36,49.19,0.738,0.273
2.625329418,0.069266916,7.527344019,8.88,95.07,0.698,0.376
3.167507866,0.139388728,9.10731848,9.5,40.81,,
2.575922953,0.072827209,11.2611628,7.62,161.61,0.719,0.323
2.723860827,0.241042299,10.96320496,8.3,123.57,0.748,0.394
2.934161851,0.116981548,15.34454959,8.9,76.53,,
2.762269772,0.043662193,13.77715489,9,90.96,,
2.582486792,0.34385924,18.72162523,10.18,31.95,0.68,0.22
3.516390486,0.072563858,9.557907958,9.49,69.89,0.75,0.384
2.791991609,0.301278854,8.171064812,9.21,76.34,0.714,0.231
2.790932117,0.219011397,12.8589571,7.89,85.47,0.892,0.459
2.80004479,0.134609985,6.64769956,9.34,40.69,0.755,0.357
2.592741472,0.117552806,6.819697733,9.77,34.1,0.703,0.225
2.595419935,0.252578412,3.925516159,8.42,129.01,0.641,0.23
3.412855189,0.031434211,6.690248769,8.31,141.25,0.691,0.229
2.54211725,0.281468902,7.773167578,11.78,,0.848,0.452
2.2293594,0.213881036,4.995696523,10.83,,0.715,0.292
3.067740914,0.038651658,11.23134277,7.24,208.77,0.668,0.308
2.773789043,0.108699173,8.210112352,9.8,87.2,,
2.884658917,0.061795502,4.050629029,9.9,63.85,,
2.889328827,0.103381645,19.4779399,8.42,127.1,0.71,0.345
2.970304898,0.120499419,5.124393503,9.8,29.98,,
2.308534542,0.178663646,6.197350307,11.74,17.65,,
2.607466678,0.123357796,9.533748684,9.82,69.62,0.741,0.346
